1	16	9
1	20	3
1	4	49
1	21	10
1	14	26
1	18	2
1	3	9
1	6	15
1	2	60
1	11	10
1	8	42
1	5	7
1	19	11
1	13	14
1	17	7
1	15	10
1	10	2
1	9	4
1	28	9
1	7	3
1	26	4
2	10	7
2	18	5
2	14	5
2	19	9
2	16	10
2	11	6
2	5	23
2	21	4
2	4	20
2	15	3
2	3	8
2	24	4
2	20	5
2	9	5
2	8	3
2	13	3
2	6	7
2	7	4
2	17	3
2	12	2
2	27	2
3	27	12
3	18	7
3	20	2
3	10	7
3	4	5
3	8	6
3	9	3
3	15	2
3	23	4
4	20	5
4	14	14
4	18	4
4	5	5
4	24	5
4	21	2
4	6	5
4	8	3
4	7	3
4	19	2
4	27	2
4	10	3
4	13	2
4	17	3
4	12	3
4	11	3
4	9	3
4	16	3
5	6	4
5	14	2
6	16	5
6	24	8
6	20	2
6	18	3
6	11	3
6	14	5
6	10	3
6	7	2
6	13	2
6	28	2
7	19	3
7	16	2
7	15	5
8	18	6
8	27	2
8	9	12
8	13	2
8	10	2
9	10	2
9	11	8
9	13	9
9	23	2
10	20	2
10	17	4
10	23	2
10	16	2
11	14	3
11	19	2
11	16	2
12	13	3
12	17	2
12	26	3
12	14	6
13	26	3
14	19	2
14	16	4
14	28	3
14	18	2
14	20	2
14	17	3
14	24	2
14	27	2
15	17	5
15	23	3
15	16	2
15	24	2
16	19	2
16	24	3
16	17	7
16	20	4
16	21	2
17	20	5
17	24	2
18	27	10
18	24	4
18	19	2
19	28	2
20	24	4
23	27	3
24	25	3
