1	5	80
1	20	51
1	13	45
1	14	36
1	34	27
1	27	16
1	38	44
1	37	42
1	10	51
1	15	25
1	19	33
1	18	23
1	17	27
1	4	66
1	2	84
1	6	52
1	8	34
1	3	87
1	16	49
1	35	16
1	23	23
1	28	30
1	12	24
1	25	33
1	7	36
1	26	19
1	9	54
1	30	15
1	32	20
1	11	35
1	33	36
1	24	23
1	21	38
1	22	19
1	36	24
1	29	12
1	31	4
2	5	50
2	20	34
2	6	34
2	17	16
2	37	29
2	14	25
2	27	26
2	22	17
2	32	18
2	31	8
2	8	30
2	35	13
2	23	16
2	4	38
2	18	13
2	12	19
2	24	19
2	19	13
2	10	26
2	9	30
2	16	24
2	30	5
2	3	51
2	28	14
2	33	32
2	7	32
2	21	26
2	26	13
2	13	30
2	25	32
2	15	10
2	29	5
2	38	20
2	11	24
2	34	11
2	36	12
3	5	92
3	10	69
3	6	90
3	16	34
3	28	40
3	12	13
3	25	26
3	7	32
3	20	24
3	21	28
3	13	29
3	35	3
3	18	8
3	17	23
3	9	31
3	4	32
3	37	16
3	11	21
3	33	26
3	23	4
3	8	42
3	26	34
3	15	38
3	24	13
3	38	25
3	29	7
3	14	44
3	36	27
3	32	13
3	27	8
3	22	13
3	19	4
3	34	27
3	31	5
3	30	3
4	18	51
4	17	21
4	19	42
4	23	44
4	34	11
4	35	41
4	32	13
4	12	56
4	27	17
4	24	25
4	20	23
4	14	12
4	31	4
4	5	43
4	9	28
4	16	17
4	13	28
4	10	19
4	37	14
4	30	32
4	7	21
4	21	16
4	25	16
4	22	14
4	36	8
4	38	12
4	33	10
4	8	23
4	29	26
4	6	22
4	11	22
4	26	4
4	15	15
4	28	6
5	20	31
5	6	78
5	17	27
5	37	24
5	13	41
5	14	39
5	34	31
5	27	11
5	38	26
5	10	47
5	16	37
5	35	9
5	9	38
5	18	9
5	12	13
5	28	33
5	33	23
5	21	29
5	25	25
5	8	61
5	7	18
5	26	17
5	15	30
5	29	13
5	22	21
5	36	23
5	23	13
5	11	21
5	30	6
5	19	13
5	32	20
5	24	21
5	31	6
6	26	25
6	14	23
6	20	17
6	17	15
6	37	12
6	8	41
6	10	56
6	16	21
6	9	20
6	11	14
6	21	19
6	36	18
6	28	28
6	23	4
6	7	16
6	15	30
6	34	20
6	12	8
6	13	24
6	38	16
6	22	7
6	25	13
6	33	17
6	32	7
6	24	14
6	29	4
6	35	4
6	30	5
6	18	5
6	19	5
6	27	4
7	10	15
7	26	9
7	15	15
7	28	13
7	12	15
7	25	9
7	16	12
7	35	7
7	18	9
7	23	8
7	19	12
7	8	14
7	21	11
7	22	12
7	9	12
7	33	14
7	36	12
7	27	9
7	11	15
7	13	12
7	30	9
7	29	12
7	24	5
7	37	8
7	20	7
7	14	9
7	38	3
7	17	10
7	34	8
8	10	38
8	9	25
8	16	30
8	17	17
8	11	19
8	34	28
8	14	19
8	33	18
8	25	12
8	21	10
8	28	14
8	26	17
8	36	20
8	15	24
8	22	11
8	32	9
8	29	10
8	24	14
8	13	23
8	27	5
8	38	8
8	12	9
8	37	14
8	30	5
8	31	4
8	23	7
8	18	4
8	19	7
8	20	8
9	10	27
9	16	25
9	20	21
9	35	5
9	17	43
9	13	33
9	18	12
9	12	15
9	37	9
9	23	22
9	30	6
9	19	10
9	11	43
9	21	14
9	28	11
9	33	8
9	29	16
9	22	18
9	15	10
9	32	9
9	38	15
9	31	4
9	34	12
9	36	7
9	25	12
9	27	4
9	14	11
9	24	9
10	15	32
10	19	4
10	26	33
10	16	26
10	13	26
10	35	3
10	18	3
10	12	5
10	17	11
10	37	8
10	36	18
10	29	4
10	21	12
10	14	30
10	31	5
10	25	8
10	33	12
10	20	11
10	22	9
10	28	15
10	34	20
10	27	6
10	38	10
10	11	16
10	32	6
10	24	6
10	23	3
11	14	9
11	25	7
11	26	5
11	21	13
11	17	15
11	38	10
11	37	7
11	27	6
11	30	4
11	13	12
11	28	6
11	15	3
11	22	10
11	29	11
11	31	3
11	35	4
11	18	8
11	19	8
11	34	5
11	16	9
11	20	6
11	23	12
11	12	11
11	36	6
11	24	6
11	33	5
12	18	24
12	32	8
12	27	5
12	24	7
12	19	30
12	28	4
12	25	8
12	16	6
12	13	16
12	35	18
12	17	13
12	37	6
12	20	14
12	23	32
12	30	17
12	33	4
12	21	6
12	29	20
12	14	6
12	38	6
12	36	3
12	22	8
12	15	10
12	31	4
12	34	3
13	20	27
13	14	9
13	34	18
13	27	7
13	38	14
13	37	10
13	35	5
13	18	5
13	17	14
13	32	11
13	25	18
13	19	9
13	22	17
13	31	4
13	29	9
13	33	19
13	16	19
13	21	11
13	28	7
13	26	3
13	24	14
13	36	11
13	30	5
13	23	9
13	15	9
14	15	21
14	31	10
14	26	21
14	20	12
14	34	15
14	27	4
14	38	12
14	37	15
14	25	8
14	22	9
14	33	8
14	21	18
14	23	5
14	24	4
14	32	9
14	19	5
14	28	12
14	16	14
14	29	3
14	36	13
15	26	33
15	20	5
15	24	7
15	37	3
15	28	15
15	23	8
15	17	9
15	25	5
15	29	6
15	36	13
15	32	4
15	34	15
15	16	11
15	22	6
15	35	4
15	30	5
15	38	5
15	18	4
15	33	5
15	21	5
16	28	9
16	25	9
16	20	13
16	35	5
16	17	10
16	33	12
16	22	5
16	36	19
16	27	4
16	21	15
16	18	7
16	19	3
16	32	7
16	34	18
16	38	12
16	37	15
16	24	7
16	26	6
16	29	4
16	23	6
16	30	3
17	20	8
17	37	5
17	18	9
17	19	8
17	35	6
17	28	5
17	23	14
17	21	9
17	32	6
17	33	4
17	27	4
17	36	7
17	34	5
17	29	15
17	25	10
17	24	10
17	22	7
17	26	3
18	19	34
18	32	6
18	27	5
18	24	4
18	35	37
18	37	3
18	20	6
18	23	23
18	30	30
18	25	4
18	29	9
18	21	5
18	38	5
19	23	20
19	32	10
19	27	5
19	24	10
19	20	7
19	30	28
19	35	24
19	25	6
19	33	3
19	21	7
19	29	9
19	37	6
19	38	4
19	31	3
19	22	3
20	37	12
20	34	8
20	27	5
20	38	18
20	21	10
20	35	7
20	23	9
20	30	5
20	32	8
20	26	3
20	25	11
20	24	8
20	22	11
20	36	6
20	33	11
20	28	6
21	33	20
21	25	22
21	28	6
21	24	10
21	38	15
21	29	7
21	22	3
21	32	9
21	31	4
21	35	3
21	27	4
21	37	13
21	26	7
21	34	9
21	36	7
22	32	8
22	26	6
22	31	3
22	34	7
22	36	4
22	27	8
